blank_path,annotated_path,species,confidence,bbox,time,model,camera,detection_conf,cropped,cropped_path
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/23062025-045712-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_23_04_57_12_WCAM04_none.JPG,none,none,none,2025_06_23_04_57_12,night,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/06062025-111622-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_06_11_16_22_WCAM04_none.JPG,none,none,none,2025_06_06_11_16_22,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/02062025-201753-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_02_20_17_53_WCAM04_none.JPG,none,none,none,2025_06_02_20_17_53,night,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/26062025-130550-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_26_13_05_50_WCAM04_none.JPG,none,none,none,2025_06_26_13_05_50,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/24062025-140640-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_24_14_06_40_WCAM04_none.JPG,none,none,none,2025_06_24_14_06_40,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/23062025-105704-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_23_10_57_04_WCAM04_none.JPG,none,none,none,2025_06_23_10_57_04,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/31052025-180429-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_05_31_18_04_29_WCAM04_none.JPG,none,none,none,2025_05_31_18_04_29,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/26062025-130719-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_26_13_07_19_WCAM04_none.JPG,none,none,none,2025_06_26_13_07_19,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/06062025-111621-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_06_11_16_21_WCAM04_none.JPG,none,none,none,2025_06_06_11_16_21,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/30052025-110800-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_05_30_11_08_00_WCAM04_none.JPG,none,none,none,2025_05_30_11_08_00,day,WCAM04,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/19062025-214605-WCAM04.JPG,none,Bilby,0.9999892711639404,"[[522.3611450195312, 986.4136962890625, 658.1451416015625, 1159.782470703125]]",2025_06_19_21_46_05,night,WCAM04,0.8591999411582947,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/classification/night/Bilby/WCAM04_2025_06_19_21_46_05_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/WCAM04/100RECNX/03062025-103623-WCAM04.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_08_WCAM_originals/outputs/discard/2025_06_03_10_36_23_WCAM04_none.JPG,none,none,none,2025_06_03_10_36_23,day,WCAM04,none,NO,none
