blank_path,annotated_path,cropped_path,species,confidence,bbox,time,model,camera,detection_conf,cropped
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-06-04 07-45-50 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_06_04_07_45_50_Rabbit_0.JPG,Rabbit,0.9963042736053467,"[[1230.5687255859375, 740.0418090820312, 1629.141357421875, 1043.691162109375]]",2021_06_04_07_45_50,day,NA,0.9661930799484253,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-04-20 07-05-11 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Kangaroo/NA_2021_04_20_07_05_11_Kangaroo_0.JPG,Kangaroo,0.9972388744354248,"[[620.6082763671875, 693.9637451171875, 716.0114135742188, 877.89453125]]",2021_04_20_07_05_11,day,NA,0.8008466958999634,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-09-21 17-18-07 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2023_09_21_17_18_07_NA_animal.JPG,none,animal,none,"[0.6313, 0.5159, 0.0644, 0.1034]",2023_09_21_17_18_07,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-09-14 05-46-08 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Cat/NA_2021_09_14_05_46_08_Cat_0.JPG,Cat,0.4908789098262787,"[[1044.7987060546875, 894.6996459960938, 1202.9739990234375, 1055.5726318359375]]",2021_09_14_05_46_08,day,NA,0.8524500727653503,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-07-05 11-06-28 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_07_05_11_06_28_Rabbit_0.JPG,Rabbit,0.9810405373573303,"[[0.32329103350639343, 1129.973876953125, 222.3290557861328, 1402.4840087890625]]",2022_07_05_11_06_28,day,NA,0.9369401931762695,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-09-14 07-22-11 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Kangaroo/NA_2021_09_14_07_22_11_Kangaroo_0.JPG,Kangaroo,0.5497066974639893,"[[1857.3792724609375, 839.6007690429688, 2042.555908203125, 1214.9742431640625]]",2021_09_14_07_22_11,day,NA,0.939351499080658,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-12-13 19-17-40 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2022_12_13_19_17_40_NA_animal.JPG,none,animal,none,"[0.4501, 0.7166, 0.2456, 0.2256]",2022_12_13_19_17_40,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-12-25 06-10-11 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2022_12_25_06_10_11_NA_animal.JPG,none,animal,none,"[0.0, 0.7749, 0.3276, 0.202]",2022_12_25_06_10_11,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-10-20 18-28-29 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2023_10_20_18_28_29_NA_animal.JPG,none,animal,none,"[0.4965, 0.7659, 0.1958, 0.2104]",2023_10_20_18_28_29,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-09-04 08-27-20 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_09_04_08_27_20_Rabbit_0.JPG,Rabbit,0.9905417561531067,"[[1864.2078857421875, 947.1725463867188, 2048.0, 1398.5999755859375]]",2021_09_04_08_27_20,day,NA,0.9304102659225464,YES
