"id","detection_image_path","destination_images","destination_labels","label","cropped_image","classification_dest_image"
"WCAM02_2025-05-31 20:06:58","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/31052025-200658-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/31052025-200658-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/31052025-200658-WCAM02.txt","0 0.121 0.4057 0.242 0.4245","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Kangaroo/WCAM02_2025_05_31_20_06_58_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM02_2025_05_31_20_06_58_Kangaroo_0.JPG"
"WCAM02_2025-05-31 20:07:00","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/31052025-200700-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/31052025-200700-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/31052025-200700-WCAM02.txt","0 0.957 0.3722 0.0729 0.1878","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Kangaroo/WCAM02_2025_05_31_20_07_00_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM02_2025_05_31_20_07_00_Kangaroo_0.JPG"
"WCAM02_2025-05-31 23:04:37","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/31052025-230437-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/31052025-230437-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/31052025-230437-WCAM02.txt","5 0.7683 0.5906 0.0635 0.1033","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Bilby/WCAM02_2025_05_31_23_04_37_Bilby_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/correct_WCAM02_2025_05_31_23_04_37_Bilby_0.JPG"
"WCAM02_2025-05-31 23:04:38","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/31052025-230438-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/31052025-230438-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/31052025-230438-WCAM02.txt","5 0.9053 0.647 0.1017 0.1285","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Bilby/WCAM02_2025_05_31_23_04_38_Bilby_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/correct_WCAM02_2025_05_31_23_04_38_Bilby_0.JPG"
"WCAM02_2025-06-04 20:04:04","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/04062025-200404-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/04062025-200404-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/04062025-200404-WCAM02.txt","5 0.4879 0.5044 0.0943 0.0822","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Bilby/WCAM02_2025_06_04_20_04_04_Bilby_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/correct_WCAM02_2025_06_04_20_04_04_Bilby_0.JPG"
"WCAM02_2025-06-04 20:04:05","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/04062025-200405-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/04062025-200405-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/04062025-200405-WCAM02.txt","5 0.2412 0.5359 0.1255 0.1019","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/low_confidence/Rabbit/WCAM02_2025_06_04_20_04_05_Rabbit_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/incorrect_WCAM02_2025_06_04_20_04_05_Rabbit_0.JPG"
"WCAM02_2025-06-04 20:04:06","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/04062025-200406-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/04062025-200406-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/04062025-200406-WCAM02.txt","5 0.0831 0.5574 0.166 0.1286","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Bilby/WCAM02_2025_06_04_20_04_06_Bilby_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/correct_WCAM02_2025_06_04_20_04_06_Bilby_0.JPG"
"WCAM02_2025-06-06 23:48:09","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/06062025-234809-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/06062025-234809-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/06062025-234809-WCAM02.txt","5 0.942 0.5232 0.0998 0.0699","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Bilby/WCAM02_2025_06_06_23_48_09_Bilby_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/correct_WCAM02_2025_06_06_23_48_09_Bilby_0.JPG"
"WCAM02_2025-06-06 23:48:10","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/06062025-234810-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/06062025-234810-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/06062025-234810-WCAM02.txt","5 0.8904 0.528 0.0575 0.061","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/Bilby/WCAM02_2025_06_06_23_48_10_Bilby_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/correct_WCAM02_2025_06_06_23_48_10_Bilby_0.JPG"
"WCAM02_2025-06-06 23:48:11","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/WCAM02/100RECNX/06062025-234811-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/images/06062025-234811-WCAM02.JPG","wild_deserts_outputs/training/detection_training/night/labels/06062025-234811-WCAM02.txt","5 0.877 0.5294 0.0347 0.0635","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_06_WCAM_originals/outputs/classification/night/low_confidence/Bilby/WCAM02_2025_06_06_23_48_11_Bilby_0.JPG","wild_deserts_outputs/training/classification_training/night/Bilby/correct_WCAM02_2025_06_06_23_48_11_Bilby_0.JPG"
