"id","detection_image_path","destination_images","destination_labels","label","cropped_image","classification_dest_image"
"WCAM01_2025-02-04 21:15:18","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211518-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211518-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211518-WCAM01.txt","0 0.4019 0.495 0.8037 0.9494","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_18_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_18_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:20","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211520-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211520-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211520-WCAM01.txt","0 0.3094 0.4946 0.6187 0.9467","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_20_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_20_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:21","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211521-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211521-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211521-WCAM01.txt","0 0.5 0.493 1 0.9479","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_21_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_21_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:27","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211527-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211527-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211527-WCAM01.txt","0 0.4278 0.5067 0.8556 0.9344","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_27_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_27_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:31","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211531-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211531-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211531-WCAM01.txt","0 0.4998 0.577 0.9996 0.7934","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_31_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_31_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:32","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211532-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211532-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211532-WCAM01.txt","0 0.521 0.5786 0.9581 0.7905","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_32_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_32_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:34","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211534-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211534-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211534-WCAM01.txt","0 0.5704 0.5775 0.8592 0.7912","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_34_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_34_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:35","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211535-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211535-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211535-WCAM01.txt","0 0.6002 0.5745 0.7996 0.7979","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_35_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_35_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:36","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211536-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211536-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211536-WCAM01.txt","0 0.6083 0.5738 0.7834 0.7996","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_36_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_36_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:39","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211539-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211539-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211539-WCAM01.txt","0 0.7204 0.6105 0.5328 0.727","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_39_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_39_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:40","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211540-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211540-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211540-WCAM01.txt","0 0.7748 0.626 0.4505 0.6969","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_40_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_40_Kangaroo_0.JPG"
"WCAM01_2025-02-04 21:15:42","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/04022025-211542-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/04022025-211542-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/04022025-211542-WCAM01.txt","0 0.7884 0.6258 0.423 0.699","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_04_21_15_42_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_04_21_15_42_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:13","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233913-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233913-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233913-WCAM01.txt","0 0.2137 0.5747 0.4275 0.5339","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_13_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_13_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:14","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233914-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233914-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233914-WCAM01.txt","0 0.2578 0.5719 0.5145 0.4978","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_14_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_14_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:26","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233926-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233926-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233926-WCAM01.txt","0 0.3225 0.5717 0.3764 0.4597","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_26_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_26_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:27","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233927-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233927-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233927-WCAM01.txt","0 0.361 0.5795 0.4207 0.4336","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_27_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_27_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:28","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233928-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233928-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233928-WCAM01.txt","0 0.3612 0.5803 0.4243 0.4319","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_28_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_28_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:32","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233932-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233932-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233932-WCAM01.txt","0 0.5197 0.5505 0.1654 0.3222","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_32_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_32_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:33","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233933-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233933-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233933-WCAM01.txt","0 0.502 0.5569 0.2014 0.3325","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_33_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_33_Kangaroo_0.JPG"
"WCAM01_2025-02-06 23:39:34","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/06022025-233934-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/06022025-233934-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/06022025-233934-WCAM01.txt","0 0.5017 0.5573 0.1997 0.3335","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_06_23_39_34_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_06_23_39_34_Kangaroo_0.JPG"
"WCAM01_2025-02-07 05:36:58","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-053658-WCAM01.JPG","wild_deserts_outputs/training/detection_training/day/images/07022025-053658-WCAM01.JPG","wild_deserts_outputs/training/detection_training/day/labels/07022025-053658-WCAM01.txt","0 0.8052 0.4793 0.0402 0.1202","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/day/Kangaroo/WCAM01_2025_02_07_05_36_58_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/day/Kangaroo/correct_WCAM01_2025_02_07_05_36_58_Kangaroo_0.JPG"
"WCAM01_2025-02-07 05:37:00","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-053700-WCAM01.JPG","wild_deserts_outputs/training/detection_training/day/images/07022025-053700-WCAM01.JPG","wild_deserts_outputs/training/detection_training/day/labels/07022025-053700-WCAM01.txt","0 0.8682 0.4791 0.0308 0.1032","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/day/Kangaroo/WCAM01_2025_02_07_05_37_00_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/day/Kangaroo/correct_WCAM01_2025_02_07_05_37_00_Kangaroo_0.JPG"
"WCAM01_2025-02-07 05:37:01","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-053701-WCAM01.JPG","wild_deserts_outputs/training/detection_training/day/images/07022025-053701-WCAM01.JPG","wild_deserts_outputs/training/detection_training/day/labels/07022025-053701-WCAM01.txt","0 0.9099 0.4826 0.0215 0.0825","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/day/Kangaroo/WCAM01_2025_02_07_05_37_01_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/day/Kangaroo/correct_WCAM01_2025_02_07_05_37_01_Kangaroo_0.JPG"
"WCAM01_2025-02-07 21:16:01","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-211601-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/07022025-211601-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/07022025-211601-WCAM01.txt","0 0.4045 0.5088 0.5885 0.4347","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_07_21_16_01_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_07_21_16_01_Kangaroo_0.JPG"
"WCAM01_2025-02-07 21:16:03","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-211603-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/07022025-211603-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/07022025-211603-WCAM01.txt","0 0.4567 0.5285 0.6886 0.4273","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_07_21_16_03_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_07_21_16_03_Kangaroo_0.JPG"
"WCAM01_2025-02-07 21:16:04","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-211604-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/07022025-211604-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/07022025-211604-WCAM01.txt","0 0.4604 0.4945 0.6881 0.4974","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_07_21_16_04_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_07_21_16_04_Kangaroo_0.JPG"
"WCAM01_2025-02-07 22:04:35","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-220435-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/07022025-220435-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/07022025-220435-WCAM01.txt","0 0.8859 0.4623 0.0818 0.248","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_07_22_04_35_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_07_22_04_35_Kangaroo_0.JPG"
"WCAM01_2025-02-07 22:04:36","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/07022025-220436-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/07022025-220436-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/07022025-220436-WCAM01.txt","0 0.9498 0.4955 0.0455 0.1768","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/Kangaroo/WCAM01_2025_02_07_22_04_36_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Kangaroo/correct_WCAM01_2025_02_07_22_04_36_Kangaroo_0.JPG"
"WCAM01_2025-02-08 03:13:02","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/08022025-031302-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/08022025-031302-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/08022025-031302-WCAM01.txt","0 0.173 0.371 0.345 0.699",NA,NA
"WCAM01_2025-02-10 22:04:30","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/WCAM01/100RECNX/10022025-220430-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/images/10022025-220430-WCAM01.JPG","wild_deserts_outputs/training/detection_training/night/labels/10022025-220430-WCAM01.txt","2 0.9384 0.5955 0.0287 0.1102","/home/willwright/Documents/wild_deserts_outputs/raw_data/2025_02_WCAM_originals/outputs/classification/night/low_confidence/Kangaroo/WCAM01_2025_02_10_22_04_30_Kangaroo_0.JPG","wild_deserts_outputs/training/classification_training/night/Rabbit/incorrect_WCAM01_2025_02_10_22_04_30_Kangaroo_0.JPG"
